item,calories,saturated fat (g),trans fat (g),sugar (g),protein (g),sodium (mg),price ($)
,,,,,,,
Double Cheesy Melt,690,16,1,8,33,1170,7.89
,,,,,,,
Cheeseburger Deluxe,340,6,0.4,8,15,800,3.89
,,,,,,,
Double Hamburger,320,6,0.4,7,18,610,3.59
,,,,,,,
Big Mac,570,10,0.5,8,24,920,6.19
,,,,,,,
Double Big Mac,740,16,1,9,38,1020,7.69
,,,,,,,
Hamburger,240,3,0.2,7,12,490,2.99
,,,,,,,
McDouble,380,8,0.5,7,21,840,3.89
,,,,,,,
Cheeseburger,290,5,0.3,7,14,670,3.39
,,,,,,,
Double Cheeseburger,420,11,0.5,7,24,1010,5.19
,,,,,,,
Quarter Pounder with Cheese,530,13,1,10,29,1050,8.99
,,,,,,,
Quarter Pounder without Cheese,430,8,0.5,9,24,660,8.99
,,,,,,,
Double Quarter Pounder with Cheese,750,21,1.5,10,47,1210,11.39
,,,,,,,
Double Quarter Pounder without Cheese,650,16,1.5,9,42,840,11.39
,,,,,,,
Quarter Pounder BLT,610,14,1,11,31,1190,10.19
,,,,,,,
Double Quarter Pounder BLT,830,21,1.5,11,49,1300,12.59
,,,,,,,
Strawberry Banana Real Fruit Smoothie,270,0,0,56,4,55,3.99
,,,,,,,
Blueberry Pomegranate Real Fruit Smoothie,320,0,0,58,3,50,3.99
,,,,,,,
Mango Pineapple Real Fruit Smoothie,280,0,0,57,3,40,3.99
,,,,,,,
Watermelon Lime Fruit Splash,180,0,0,43,0,15,2.69
,,,,,,,
Lemon Fruit Splash,110,0,0,27,0,15,2.69
,,,,,,,
Fuze Iced Tea,150,0,0,41,0,60,2.19
,,,,,,,
Fruitopia Strawberry Passion Awareness,170,0,0,45,0,60,2.19
,,,,,,,
Fruitopia Orange Groove,170,0,0,46,0,55,2.19
,,,,,,,
Coca-Cola Zero,1,0,0,0,0,90,2.19
,,,,,,,
Coca-Cola,190,0,0,52,0,45,2.19
,,,,,,,
Diet Coke,1,0,0,0,0,70,2.19
,,,,,,,
Minute Maid Orange Juice*,180,0,0,37,0,4,2.49
,,,,,,,
Minute Maid Apple Juice*,160,0,0,37,1,35,2.49
,,,,,,,
1% Partly Skimmed Milk - 250 ml,110,1.5,0,12,9,120,1.49
,,,,,,,
1% Partly Skimmed Chocolate Milk - 250 ml,150,1.5,0,22,8,130,1.49
,,,,,,,
Barq's Root Beer,210,0,0,60,0,90,2.19
,,,,,,,
Sprite,190,0,0,51,0,90,2.19
,,,,,,,
Dasani Water,0,0,0,0,0,0,2.19
,,,,,,,
Frank�s RedHot� Creamy Garlic Chicken McMuffin,380,6,0.2,2,14,770,6.49
,,,,,,,
Frank�s RedHot� Creamy Garlic Egg McMuffin,340,6,0.2,3,16,810,6.49
,,,,,,,
Frank�s RedHot� Creamy Garlic Sausage N Egg McMuffin,490,11,0.3,3,21,930,6.49
,,,,,,,
Frank�s RedHot� Creamy Garlic Bacon N Egg McMuffin,370,7,0.3,3,16,730,6.49
,,,,,,,
Mighty McGriddles,590,15,0.3,15,24,1590,5.49
,,,,,,,
Mighty McMuffin,520,13,0.3,3,26,1170,5.99
,,,,,,,
Spicy Egg N Hash Brown Breakfast Wrap,630,10,0.3,5,17,1060,6.49
,,,,,,,
Chicken Breakfast Wrap,680,10,0.4,3,17,1200,6.49
,,,,,,,
Sausage Bacon N Egg Breakfast Wrap,800,16,0.5,4,26,1500,7.99
,,,,,,,
Egg 'N Cheese McMuffin,280,5,0.2,2,14,510,4.19
,,,,,,,
Egg 'N Cheese McGriddles,360,6,0.2,15,14,1000,4.99
